"392. I'm the owner of a tutoring center. I want you to try to sell me your brand of pencils.
","The interviewer is asking you to think through the sales process: 1. Ask them about their pain points / challenges / goals. 2. Listen carefully 3. Align the solution (pencils) to their goals/challenges and discuss the benefit of buying it 4. Ask them to purchase the pencils
"
"393. You're an entreprenuer and opening a new bakery store. Walk me through the process from the beginning.
","Walk through this logically. First you need a business plan. Then you need to obtain licenses for the business and to incorporate it. Then you need to get funding for the purchase of the equipment and for the staff's pay. Then you need to put together an operations plan so that the staff can execute the tasks needed to run the business. Then you need to figure out a marketing plan to attract customers. And so forth.
"
"394. I have a customer list of 10,000 businesses. Describe to me how you would create 1,000 marketing impressions from that list.
","Think of the different marketing campaigns you could run through direct marketing (TV, radio, newspapers/magazines), digital formats, social marketing, viral marketing and so forth.
"
"395. We would like you to reduce our costs by $1,000,000 in our operations department. Describe to me how you would implement that project.
","Ask for more information on the current operations department and what their key challenges and inefficiencies are. From there, discuss how your ideas would cut down on costs.
"
"396. You're the CEO of our company and you can focus on three priorities for the year. What would they be and why?
","It depends on the goals of the company, but here are some good answers: Increasing profitability, sustainable revenue growth, lower costs, increasing innovation to differentiate the company from competition.
"
"397. Your company just had a security breach and 50,000 customer credit cards were stolen, how do you handle the situation?
","Find out what the best solution is that will protect your customers. Immediately find out who the 50,000 customers were. From there, issue a notice detailing what happened and explain what you are doing to remedy the solution (which should be implemented immediately). Offer free credit protection services to the customers.
"
"398. Estimate the total number of chairs in the United States.
","Take your time, and ask questions to narrow down the choices. Is this just households (for example)? If yes, logically think through the steps: the US population is an estimated 307 million. Assuming there are about 112 million households out there, that works out to about 3 people per household (just under). The average house probably has a dining area and an office room. Assuming there are an average of 4 chairs total amongst both rooms, you can begin to estimate the """"household"""" demand for chairs by working backwards from there. 3 people x 4 chairs = 12 x 112M householders = 1,334M chairs
"
"399. Estimate the market opportunity for new chair sales in the United States.
","Questions to ask - How often do chairs break? What is their typical life cycle? What is the average price of a new chair?
"
"400. How many times do a clock's hands overlap in a day?
","Map out the drawing of the block on a piece of paper. You'll find the answer is 22 unless you count Midnight as a part of the day.
"
"401. How would you weigh a plane without scales?
","Before the plane is assembled, weight all of the individual parts first.
"
"402. Tell me 10 ways to use a pencil other than writing.
","This is a test on your creativity. A pencil could be used as a eating device, as a measurement tool, as a liquid stirring device, etc.
"
"403. Sell me this pencil.
","First ask them to describe what they're looking for a pencil and why they want to buy it. Then utilize reasons that match those requirements to persuade them to buy the pencil. Close the statement by asking them if they'd be willing to buy it.
"
"404. If you were an animal, which one would you want to be?
","Which animal has characteristics you'd like to replicate in the workplace?
"
"405. Why is there fuzz on a tennis ball?
","The fuzz slows down the ball in flight, keeps it from bouncing too high, and lets the racket get a better """"grip"""" on it. A perfectly smooth ball would travel so fast and bounce so high that the game would be unplayable. Also, with a smooth ball, it would be much more difficult for the player to control the direction of the shots.
"
"406. If you could choose one superhero power, what would it be and why?
","Have fun with the answer, just make sure you back up your answer with a genuine reason.
"
"407. If you could get rid of any one of the US states, which one would you get rid of and why?
","Logically decide which state you would get rid of (perhaps the lowest revenue generating state, etc) The key is to see how you arrive at your answer.
"
"408. With your eyes closed, tell me step-by-step how to tie my shoes.
","Take the time to visualize the shoe first. Then as you go through the process make sure you describe it step by step in great detail.
"
"409. How many gas stations are there in the US?
","Work backwards on this to find the answer: There are 50 states with the mean population being X million. For every X million of people there are Y number of gas stations. Thus X times Y gives you the number of gas stations in the US.
"
"410. How many garden hoses were sold in the US last year?
","Work backwards on this to find the answer: There are an estimated 150 million households in the US (making this up), from there we see an average of 2 hoses per household, and thus we arrive at 300 million hoses.
"
"411. How many pairs of boxes are sold in the US each year?
","Let's first discuss when boxes are typically used. From there, calculate the average number of boxes used for each scenario, and then multiply that by the number of people that would use it.
"
"412. How many NetFlix DVDs get lost in the mail each year?
","Make assumptions or ask questions to begin. For example, let's assume that there are 15 million customers that leverage mail in DVDs. Of those 15 million, assuming there is a 1% loss rate, than you'll have 150,000 DVDs that are lost in the mail each year.
"
"413. Estimate the number of gallons of gasoline the typical gas station pumps in a given weekday.
",Start off with assumptions - how many cars are in the world and how often do they fill up at the stations on any given day (or what's the average) From there estimate the average number of gallons each car would need and then you can arrive at your answer
